city_name,description,why_visit,whats_included,whats_not_included,restrictions,additional_info,location
Gospel Mass in Harlem.,"Families would enjoy a tour of the Harlem neighborhood of main points of interest, Apollo Theater and of course, the famous Church of the Gospel Mass.During the tour, tourists would learn about the history and culture of Harlem. They would hear anecdotes about the places and get information about local life. In addition, they would stop at places that tourists wanted to visit, in order to have an experience of Harlem culture.Finally, tourists would enjoy the most authentic experience of Harlem by attending the Gospel mass in the Church. They would listen to the singing and dancing that make the Gospel mass a unique and unforgettable experience. At the end of the tour, tourists would take with them an unforgettable memory of a unique and exciting experience.",[],"['The tour ends at 5 Avenida and Calle 58.', 'water bottles for passengers', 'Air-conditioned vehicle', 'Professional Guide', ""We'll drop by your hotel if it's between 23rd and 57th streets in Manhattan.""]","['Food, coffee, snacks.', 'Tipping (Recommended)', 'DO NOT return to the hotel.']",[],[''],
NYC Skyline Dinner Cruise from New Jersey,"Dine along the skyline with City CruisesEnjoy chef prepared menus, seasonal cocktails, live music, iconic sights, and the bright city lights as you dine along the New York skyline!Depart from Lincoln Harbor Marina in Weehawken NJ and sail for two-and-a-half hours along the Hudson and East rivers past many notable attractions such as Statue of Liberty, Empire State Building, Vessel at Hudson Yards, Chrysler Building, One World Trade Center, Intrepid Sea, Air & Space Museum, South Street Seaport, Brooklyn Bridge and more.Take in the views as you enjoy the chef prepared dinner buffet with freshly prepared entrees, salads and desserts along with live musical entertainment provided by the onboard DJ. Creative cocktails, wine and beer available from the well-stocked bar. Board the Spirit of New Jersey for a festive and casual dinner cruise with incredible skyline views from interior and exterior open-air observation decks.",[],"['Unlimited coffee, hot tea, iced tea and water', 'Delicious attended dinner buffet with freshly prepared entrees, salads and desserts', 'The best views of New York City’s iconic skyline', 'Onboard entertainment with DJ music', 'Seating in the interior dining decks with access to dance floor and outdoor lounge deck', '2.5 hour cruise on the Hudson & East River']","['Gratuity', 'Creative cocktails, wine and beer available for purchase']",[],[],"Departure point1500 Harbor Blvd, Harbor Blvd 1500, Weehawken, 07086Lincoln Harbor Marina"
Hadestown on Broadway Ticket,"Hadestown intertwines two mythic tales — that of young dreamers Orpheus and Eurydice, and that of King Hades and his wife Persephone — as it invites you on a hell-raising journey to the underworld and back. Mitchell’s beguiling melodies and Chavkin’s poetic imagination pit industry against nature, doubt against faith, and fear against love. Performed by a vibrant ensemble of actors, dancers and singers, Hadestown is a haunting and hopeful theatrical experience that grabs you and never lets go.",[],['All taxes and fees included'],,[],[],"Departure pointWalter Kerr Theater, 218 W 48th St, , New York City New York, 10036-1424"
Harry Potter and the Cursed Child on Broadway Ticket,"It was always difficult being Harry Potter and it isn’t much easier now that he is an overworked employee of the Ministry of Magic, a husband and father of three school-age children.While Harry grapples with a past that refuses to stay where it belongs, his youngest son Albus must struggle with the weight of a family legacy he never wanted. As past and present fuse ominously, both father and son learn the uncomfortable truth: sometimes, darkness comes from unexpected places.",[],"['All taxes, fees and handling charges']",,[],[],"Departure pointLyric Theatre, 214 W 43rd St, New York City New York, 10036-3912"
Shakespeare Outdoor Escape Game in New York Central Park,"Shakespeare grew up surrounded by the Forest of Arden.New Yorkers have Central Park, an 843-acre urban oasis. Shakespeare in the Park has become as New Yorkian as a bagel with cream cheese. In this game you will hike easily up to the two highest natural points in Central Park and experience Shakespeare’s storytelling in a whole new light. Have a nap, cross-dress, buy a house, escape a lion’s clutches and even marry. This exploration game has it all. Ready? When you’re ready, enter stage left!Highlights include:• Explore Mariner's Gate, Summit Rock, Heart of Seneca Village (The Wilson House) and lesser-known places.• Enjoy a uniquely crafted story brought to you by our top-notch/gifted/talented writers.After your booking, you will receive an email with instructions on how to download and play the game on your phone. We recommend that each user purchases a ticket for an optimal experience, although several people can share a phone.",[],"['24/7 customer support (https://chatting.page/questo)', 'Full availability: 24/7, every day of the year.', 'A city exploration game available on your phone (Questo app).', 'Safety: It’s self-guided, open air and you will avoid crowds.', 'Flexibility: start, take a break and continue at your own pace.']","['A live tour guide.', 'Entry tickets to attractions (Not needed to complete the tour. Locations are outside attractions.))']",[],[],"Departure point252 Central Park W, Central Park W 252, Manhattan, New York, 10024• Go to Mariner's Gate - 252 Central Park West, New York, NY 10024 (game starting point).
• Bring a charged phone.
• Open the Questo app and follow the instructions.
• You must have downloaded the app and created an account first, using the same email you made the purchase with."
"NYC Combo: Statue of Liberty Cruise, St Patrick's Cathedral & Moma entrance","See New York City's most visited attraction on your Statue of Liberty Cruise, then head uptown to the iconic St Patrick's Cathedral and enjoy skip the line tickets to MOMA with this NYC Combo. Set sail from Pier 36 for your 60-minute Statue of Liberty Cruise. See Lady Liberty herself from the water. Snap pictures for lasting memories then return to Pier 36. Next, head uptown to experience The 160-year history of St. Patrick’s Cathedral shared by the men and women who know it best in this official audio tour. Cardinal Timothy Dolan, Monsignor Robert Ritchie and others guide you around St. Patrick's. They tell their personal stories about what makes St. Patrick’s America's favorite.And after walk to NY’s Museum of Modern Art (MoMA) is one of the world's premier art galleries. The collection’s 150,000 pieces of modern and contemporary art include works by Picasso, Frida Kahlo, Pollock, and others.",[],"['MOMA ticket is skip-the-line', ""St Patrick's Cathedral Official Audio Tour"", 'Statue of Liberty 60-Minute Sightseeing Cruise from Pier 36']",,[],[],"Departure point299 South St, South St 299, Manhattan, New York, 10002Statue of Liberty 60 Min Cruise departs from pier 36 located at 299 South St please go in and walk towards the water and check in at slip 3 at the boat."
Half-day Custom Tour,"On this private tour, you’ll have the chance to create your own itinerary and explore the landmarks and attractions that interest you. After meeting your driver, you’ll set off on a four-hour city tour. Along the way, you’ll be able to make stops at locations you wish to visit. You’ll be able to make photo stops at various landmarks, hear stories of the city’s history from your driver and receive restaurant and shopping recommendations.",[],"['Transportation in an air-conditioned vehicle', 'Driver-guide']","['Tips', 'Food and drinks']","['Not recommended for pregnant visitors', 'Not recommended for visitors with back problems', 'Not recommended for visitors with heart problems or serious medical conditions', 'Suitable for all fitness levels']","['Spanish', 'Spanish', 'Spanish']","Pick-up pointManhattan, New York, NYPlease note that pickup is available from hotels in Manhattan. Please enter your pickup details at checkout. 

Please note that hotel pickup will commence 15 minutes before the scheduled tour time."
Central Park Scavenger Hunt and Best Landmarks Self-Guided Tour,"Use clues at each attraction to find your next destination and challenge yourself to use logic, imagination, observation, and team spirit to complete the game. Uncover local information and facts about the city as you explore. Discover hidden gems and narrow streets.Without a schedule and at your own pace, pause anytime and continue later or even another day.Work as a team or compete with each other. A unique team-building activity perfect for couples, families, companies, students and groups of friends.",[],['App-Navigation-Tour'],['Food and Drinks'],[],[],"Departure pointThe Obelisk, E 81st St, Manhattan, New York, 10024Read carefully the instructions below (Before You Go section). Login and find the exact location of the 1st step."
Guided East Village Pizza Walk,"On this guided pizza walk, you’ll visit three popular pizzerias in Manhattan's East Village. You’ll learn more about East Village pizza-making traditions from your guide. You'll also gain insights into the century-long culinary evolution of the area. Additionally, you’ll visit classic pizza joints with century-old brick ovens and taste three slices of pizza. You’ll also be provided with a pocket pizza journal.",[],"['Guide services', 'Pizza', 'Pocket pizza journal']","['Toppings', 'Drinks']",['Suitable for all fitness levels'],"['Visitors must show a valid photo ID.', 'Visitors must show a valid photo ID.']","Departure pointGnocco, E 10th St 337, Manhattan, New York, NY, 10009Please meet your guide inside Gnocco restaurant at 337 E 10th Street, between Avenue A and Avenue B. The tour group will meet here at 16:30 and remain at the restaurant for 30 minutes."
New York City Bagel Tour,"Indulge in a mouth-watering journey through the heart of New York City while savoring the best bagels the Big Apple has to offer!Whether you're a seasoned bagel connoisseur or a newcomer to the world of bagels, this tour is designed to give you an inside scoop as you explore the history and culture of New York's iconic food.Satisfy your cravings with a delectable variety of bagels, cream cheeses, and sandwiches, all included in the tour price. Tastings are bite-sized so you can sample lots throughout the tour.Select tours offer a hands-on bagel rolling experience that teaches you the art of bagel making up close and personal. Whether you're visiting from out of town or a local looking for a fun and delicious activity, our tour offers a fresh perspective on the city's most beloved food. So come along and join us for an unforgettable journey through the best bagel spots in town!",[],"['Variety of bagels and cream cheeses', 'All bagels cut into bite sized pieces', 'Classic bagel sandwich like a bacon, egg, and cheese or a fully loaded lox']","['Drinks are not included. You may bring your own or purchase drinks at a shop.', 'Gratuities']",[],[],"Departure pointBagel Pub, 7th Ave 350, Manhattan, New York, 10001"
