city_name,description,why_visit,whats_included,whats_not_included,restrictions,additional_info,location
Toronto’s Romantic Walk: From Bustling Squares to Serene Parks,"Embark on a romantic exploration of Toronto’s iconic landmarks and hidden gems. Begin your journey at the vibrant Yonge-Dundas Square, a lively hub of activity and entertainment in the heart of the city. Continue to the historic Toronto Old City Hall, where its stunning architecture sets a romantic backdrop. Wander hand in hand to Osgoode Hall, admiring its elegant façade and peaceful gardens. Explore the modern marvel of Toronto Dominion Centre, a testament to the city’s contemporary spirit. Conclude your tour at Berczy Park, a quaint urban oasis, perfect for a tranquil end to your romantic stroll. This walking tour offers a beautiful blend of Toronto’s dynamic urban landscape and serene green spaces, ideal for couples seeking to discover the city’s romantic side.",[],['Professional Local Guide'],,[],[],"Departure pointYonge Dundas Square, Old Toronto, TorontoWe will meet by the entrance of Yonge-Dundas Square."
Unique Highlights of Toronto - Walking Tour,"Take on an easy-paced 2-hour walking tour and discover magnificent Toronto. In the company of a local guide, enjoy storytelling coupled with sightseeing and become familiar with local legends, the city's unique landmarks and heritage. Start the journey from the historic Distillery district and take in the vibrant, bustling atmosphere as you witness the best highlights of the area. Explore the local St. Lawrence Market situated in the Old Town of Toronto. Feel like a local as you stroll the market, witnessing authentic traditions and customs. Then learn more about Canada's signature sport, ice hockey. Explore the Hockey Hall of Fame and learn intriguing historic facts regarding the sport that inspires millions of Canadians. Take in all the beauty of Toronto near the famous CN Tower, one of the tallest structures in the world.",[],['Professional Local Guide Services'],['Hockey hall of fame Admission Fee - $25 per person'],[],[],"Departure pointDistillery District, Old Toronto, Distillery District, TorontoBy the entrance of Distillery District,"
Toronto Custom Private Walking Tour of Hidden Gems with a Local,"Your local host will lead you off the tourist trail to discover the best kept secrets in Toronto that your guidebook doesn’t even know about. See Toronto’s art hub and hipster hangout of the city. Learn about the history of the city, and discover the unique personality of the city through the best food spots and peculiar shops loved by locals. Explore markets, where growers, butchers, and fishmongers display their best produce. Relax on one of the beaches and discover quirky buildings while you walk through some of the city’s coolest neighbourhoods.Within 24 hours after booking you'll receive a short questionnaire about your personality and interests. Based on your responses, you'll be assigned a like-minded host who will communicate with you directly to suggest an itinerary to help you discover what makes the city unique. You will also agree on a meeting time and place. Your itinerary is flexible, so during the experience, you can always change your mind about what you want to do.",[],"['Walking experience (if required, your host can suggest public transport or taxi options)', '3-8 hours with a host', 'Private and personalized experience']","['Food and drinks', 'Tickets to any attractions', 'Gratuities (optional)']",[],[],"Departure pointToronto Old City Hall, Queen St W 60, Old Toronto, Toronto, M5H 2M3After booking, you can adjust the meeting point to fit your preferences with the help of our Experience Planners."
Visit Niagara Falls and experience a VIP Wine Tour,"Tour provides visits to two world renowned areas, the famous Niagara Falls and the world's newest and highly acclaimed wine region with over 100 wineries. A drive along the Parkway. One of the prettiest Sunday drives in the world - Winston Churchill to the prettiest town in Canada, Niagara On The Lake. A winery tour that includes tastings of some of the worlds top wines and Ice Wines.",[],"['Private transportation', 'Lunch', 'wine tastings']","['alcohol/drinks at lunch', 'Activities in Niagara Falls that are not included in the itinerary are not apart of the product.']",[],[],
Enchanted Full Day Niagara Falls tour from Greater Toronto Area,"Experience one of the country’s most famous sights with a day trip to Niagara Falls . This one-day tour makes it easy to take an excursion from Toronto to see the natural wonder. No need for a passport or visa since you’ll stay on the Canadian side of the falls. Make the long journey in a comfortably air-conditioned vehicle. Convenient round-trip transportation from hotels and homes in greater Toronto AreaSee the waterfalls from many different vantage points and have some time to explore Niagara Falls on your own. Get close enough to the falls to feel their mist, and have plenty of great photo ops. Plus, leave the worry of driving and navigating to your guide",[],"['Bottled water', 'Air-conditioned vehicle', 'Hotel Pick up and Drop off', 'Access to the Observation Deck']","['Food & Drinks', 'Gratuities']",[],[],
"Toronto Private Tour with a Local Guide, Tailored to Your Interests","Your local host will lead you off the tourist trail to discover the best kept secrets in Toronto that your guidebook doesn’t even know about. See Toronto’s art hub and best hipster hangout of the city. Learn about the history of the city, and discover the unique personality of the city through the best food spots and peculiar shops loved by locals. Explore markets, where growers, butchers, and fishmongers display their best produce. Relax on one of the beaches and discover quirky buildings while you walk through some of the city’s coolest neighborhoods.Within 24 hours after booking you'll receive a short questionnaire about your personality and interests. Based on your responses, you'll be assigned a like-minded host who will communicate with you directly to suggest an itinerary to help you discover what makes the city unique. You will also agree on a meeting time and place. Your itinerary is flexible so during the experience you can always change your mind about what you want to do.",[],"['3, 4, 5, 6 or 7 hour walking tour, exploring highlights and hidden gems', 'Hotel meet-up (if within reasonable distance)', 'Private and personalized walking tour with a passionate local']","['Food and drinks', 'Transportation (primarily a walking experience however public transport may be used)', 'Tickets to any attractions', 'Gratuities (optional)']",[],[],"Departure pointToronto Old City Hall, Queen St W 60, Old Toronto, Toronto, M5H 2M3After booking, you can adjust the meeting point to fit your preferences with the help of our Experience Planners."
Private Tour: Personal Travel Photographer Tour in Toronto,"No more selfies or pestering strangers for photos of yourself and loved ones, enjoy the services of a professional vacation photographer in Toronto to capture your travels in a contemporary and candid style. Specialising in delivering quality photography with photographers all over the world, we guarantee you amazing photos to remember your travels. All images shown were taken by our photographers.",[],"['Professional vacation photographer local to Toronto', 'All images free for digital download', 'Access to an online gallery containing your images', 'A custom route through the city based on your groups unique requirements']","['Food and drink', 'Travel costs (if applicable)', 'Hotel pickup and drop-off']",[],[],"Departure pointToronto, Toronto"
"Hire Photographer, Professional Photo Shoot - Toronto",Professional photo shoot in unique Toronto locations. The Photo Experience will create amazing photo memories from your visit. You will be able to see undiscovered locations and get the best photo story from your Toronto visit. We can tailor each photo shoot to meet your requirements; we can travel to your location or we can suggest a location for the photo shoot. Our Photoshoots are ideal for any Tourists - Solo Traveler- Couples- Groups - Hen/Bachelorette & Stag/Bachelor Parties- Families - Secret proposal/Engagement - Honeymoon - Experienced Influencers and Models- New Influencers and ModelsWhat's Included:A Private online viewing gallery - 1 hour = 20 Final photos*- 2 hours = 30 Final photos*- 3 hours = 40 Final photos*- 4 hours = 50 Final photos** same set of images - A unique location professional shoot experience- DELIVERY - Up to 14 days after photoshoot. What's Excluded: - Transportation - Entry fees,[],"['- 1 Hour Photoshoot = 20 Final Photos*', '- 4 Hour Photoshoot = 50 Final Photos*', 'Private Online Viewing Gallery', '- 3 Hour Photoshoot = 40 Final Photos*', 'Professional Photographer', '* Same set of images', '- 2 Hour Photoshoot = 30 Final Photos*']","['Private transportation', 'Pick-up/Drop off', 'All Fees & Taxes', 'Advanced Photo Editing']",[],[],"Departure pointToronto, TorontoMeeting point to be confirmed with Customer and Photographer, via email correspondents after booking confirmed.
Meeting point can be a point of interest for the customer."
Toronto Half-day Private Tour with a Local,"On this half-day tour of Toronto, you’ll escape the tourist trail on a customisable tour with the help of your like-minded guide. You’ll see places like Toronto’s art hub and best hipster hangout, and historical sites like the Old City Hall and the pedestrian-only Distillery District. You’ll also have the chance to explore markets where growers and fishmongers display their produce. To round off your tour, you can relax on sandy beaches and discover eclectic buildings whilst walking through some of the city’s most fashionable neighbourhoods.",[],"['Four-hour tour with local guide', 'Hotel meet-up', 'Personalised and private walking experience']","['Admission to attractions', 'Food and drinks', 'Transportation costs (if applicable)', 'Tips (optional)']",['Suitable for all fitness levels'],"['English (UK)', 'English (UK)', 'English (UK)']",Departure pointTorontoPlease note that this is a walking tour. You can request your host to meet you at accommodations/locations in central Toronto.
Personalised Toronto Tour,"During this private experience you’ll take a personalised full-day tour through Toronto. Your local guide will lead you to some of the top spots in Toronto, while providing you with insight into the local history and culture. Some of the attractions you’ll visit include Kensington Market, the Old City Hall, the Distillery District and the Thomas Fisher Rare Book Library.",[],"['Eight–hour tour', 'Private and personalised experience', 'Walking experience', 'Hotel meet-up', 'Japanese soft drink tastings']","['Food and drinks not mentioned', 'Admission to any attractions', 'Transportation costs', 'Gratuities (optional)']",['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure pointTorontoOnce you have booked your experience, the tour provider will be in touch in order to finalise the meeting point details with you. 

The tour provider can arrange pickup from hotels and other locations in the centre of the city.

Your meeting point must be confirmed and agreed by the tour providers in advance.

This is a walking experience, so your host will meet you on foot"
