city_name,description,why_visit,whats_included,whats_not_included,restrictions,additional_info,location
"Tulum Extreme Tour! Mayan Ruins, ATV and Cenote from Tulum","Embark on an enchanting Cultural Tour at the magnificent Tulum Ruins! Immerse yourself in the captivating history of the Mayan People as our expert guide unveils fascinating tales of the past. After the guided tour, explore freely.Venture deep into the mystical Mayan Jungle on an ATV for an exhilarating ride through a breathtaking circuit. Feel the wind rush against your face and adrenaline surge through your veins as you conquer the untamed beauty of the jungle.Descend into a sacred cenote, conected with an underground river, for a mesmerizing experience. Witness the ethereal beauty of this hidden oasis, where nature's wonders come alive in a magical display.",[],"['Round transportation from Playa Del Carmen & Tulum', 'Certified Guide', 'Tulum Ruins (1 and half hour)', 'Flavored water', 'Underground river swim (20 minutes)', 'Regional buffet meal (all diets)', 'Single ATV Circuit (45 minutes)']","['Preservation tax of 15 USD per person', 'ATV insurance 15 USD per driver']",[],[],
"Tour of Maya Ruins, Cenote and Playa del Carmen","On this guided tour, you'll discover the archaeological sites and natural sceneries of the Yucatan Peninsula. The tour starts at the Mayan ruins of Tulum and Cobá. In Tulum, you'll stroll through temples and pyramids against the Caribbean Sea backdrop. In Cobá, you'll climb to the top of Nohoch Muul, known as the tallest pyramid on the peninsula. While you enjoy local dishes for lunch, your guide will share more insights into the Mayan architecture, culture and lifestyle. Afterwards, you'll get to swim in the crystalline water of a cenote, a natural sinkhole. The tour concludes in Playa del Carmen, where you can shop and roam around on your own for 45 minutes.",[],"['Admissions', 'Pickup and drop-off in in Playa del Carmen', 'Transportation in an air-conditioned vehicle', 'Lunch', 'Guide services']",['Photos'],[],['All guests located in hotels after Playa del Carmen have two options for the activity to visit the town. \r1) You can make your own way back if you want to visit Playa del Carmen \r2) Skip the visit to Playa del Carmen and return to your hotel after the visit to Tulum Coba and the cenote swim\rPlease bring your ticket with you to the attraction.\rBe aware that operators may cancel for unforeseen reasons.\rYou need to be 18 years or older to book or be accompanied by an adult. Operated by Kbron travel'],Pick-up pointPlaya del CarmenPlease provide your pickup details during checkout. Pickup will be at 07:00.
Three-Hour Street Food Crawl,"On this food tour, you'll get a glimpse of the rich Mexican food scene in Playa del Carmen. A local guide will show you places to eat, relax and shop away from the tourist areas of town. Along the way, you'll visit between five to six different local spots and receive a food sample at each one. You'll have the chance to get adventurous with your tastings of local delicacies to stick with the traditional carnitas and tamales. The cuisine exploration will also include a tequila tasting before concluding at the city's shopping venues.",[],"['Special discount for purchases at tequila shop', 'Transportation', 'Guide services', 'Refreshments (water, sodas, and traditional fresh fruit juices)', 'Food tasting', 'Tequila tasting']","['Tips', 'Pickup and drop-off']",['Suitable for all fitness levels'],"['English (UK)Spanish', 'English (UK)', 'English (UK)', 'Spanish', 'Spanish']","Meeting pointADO Terminal Turistica Playa Del Carmen, LTE 2, Quinta Avenida Nte., Centro, Playa del Carmen, 77710Meet your guide at the North East Corner of Benito Juarez Avenue and 5ta Avenida located in Downtown Playa del Carmen.

If you are arriving by taxi, tell the driver to drop you off at the downtown bus station ADO. 

Your guide will be wearing a red shirt with a 'Foodhoppers' logo on it."
Isla Mujeres Catamaran Party Cruise,"On this Isla Mujeres party cruise, you'll get the chance to spend a fun-filled day aboard a luxury catamaran. You'll sail across the Caribbean Sea to a colourful coral reef, where you'll be able to snorkel and see tropical fish, sea turtles and rays.  After snorkelling, you'll get to enjoy unlimited drinks from the catamaran's open bar and a party atmosphere with games and contests on board. You can also enjoy lunch at a beach club and free time to explore the island, before sailing back to Cancún at sunset.",[],"['Admission to the beach club', 'Hotel pickup and drop-off', 'Games, contests and party on board', 'Open bar', 'Snorkelling equipment', 'Buffet lunch']","['Dock tax', 'Admission to Ice Bar']",[],['Please note that the tour price does not include the dock tax. An extra charge of USD 15 per person has to be paid at check-in.\rPlease note that the tour price does not include admission to Ice Bar. An extra charge of USD 12 per person has to be paid on the day of the tour.\rPlease bring your ticket with you to the attraction.\rBe aware that operators may cancel for unforeseen reasons.\rYou need to be 18 years or older to book or be accompanied by an adult. Operated by Altustours'],"Pick-up pointPlaya del CarmenPlease note that a pickup service is available from hotels in Playa del Carmen. Please enter your pickup details at checkout. 

Please note that hotel pickups will commence 60 minutes before the scheduled tour time.

Please contact the tour provider to arrange your pickup. 

If you aren't using the hotel pickup service, please make your way to one of the meeting points. If you're staying in Cancún, please meet your guide in front of the lobby of the Oasis Smart hotel on Tulum Avenue. If you're staying in Playa del Carmen, please meet your guide at Coco Bongo."
Full-Day Snorkel Extreme Adventure Tour from Riviera Maya,"Snorkeling, zip-lining, rappelling, and underground river exploration are all included in this adventure-packed 6-hour tour.  Hotel pickup and drop-off, guide, air-conditioned transportation, all necessary equipment, and a buffet lunch of Mexican favorites included.Reservations made with less than 24 hours prior to your tour date must provide Hotel information or pick up is not guaranteed.",[],"['Hotel pickup and drop-off', 'All necessary equipment', 'Buffet lunch and beverages', 'Air-conditioned transportation', 'Guide', 'Insurance, and taxes.']",['Gratuities'],[],[],
Enjoy a wonderful full day at the best Beach Club of the Riviera Maya,"You are in the paradisiacal Caribbean Sea of the Riviera Maya, and you would like to get away from the hustle and bustle of the place while enjoying the wonders that Mexico has for you. Then, this tour is perfect for you.When you arrive to this paradisiacal place you will be mesmerized by its unique beauty The beach is a long coast, without many people and without much noise, making this place a perfect beach to rest and enjoy the wonders of the Mexican Caribbean.You can swim in the calm turquoise blue waters of the Caribbean Sea, walk and enjoy the sun's rays on your skin or relax in the hammocks and lounge chairs on the soft white sand of this beautiful place.Book with us and enjoy this wonderful tour!",[],"['Showers', 'Lounge chairs', 'Dressing Rooms', 'Restrooms and General facilities']","['Food and drinks', 'Extra activities', 'Lockers']",[],[],"Departure pointEl Dorado Maroma, Km. 55.3, Carr. Cancún - Tulum, Playa del Carmen, 77710"
Snorkeling Experience with Turtles in Cenote in Riviera Maya,Small groups of 20 people during snorkeling allow the guests a more intimate experience with the turtles. Other operators use larger groups. Be aware that there could be more than 20 on the transfer. This allows access to Akumal a million times easier.,[],"['Transport', 'Entrance fees', 'Light snack', 'Snorkeling equipment and wetsuit for the cenote']","['Lunch', 'Tips', 'Photos']",[],[],
Party Catamaran to Isla Mujeres with Snorkelling,"This tour will take you sailing on a party catamaran through the Caribbean Sea, complete with party games and contests. You’ll sail to the Punta Sam reef where you’ll have the chance to snorkel among the colourful marine life. After your snorkelling experience, you’ll head to the beach club on Isla Mujeres where you can enjoy a buffet lunch and the open bar. You’ll then have plenty of time to walk around town to sightsee and shop for souvenirs. On the way back, you’ll have the opportunity to relax on the catamaran and take in the sunset over the sea.",[],"['Tequila party', 'On-board activities', 'Open bar', 'Buffet lunch', 'Transportation', 'Snorkelling equipment', 'Two snorkelling points']","['Dock fee (USD 15 per person)', 'Ice Bar (USD 15 per person)']","['Not recommended for pregnant visitors', 'Not recommended for visitors with back problems', 'Not recommended for visitors with heart problems or serious medical conditions', 'Suitable for all fitness levels']","['Comfortable footwear is recommended.', 'Comfortable footwear is recommended.']","Pick-up pointPlaya del CarmenPickup is available from Playa del Carmen. Please enter your pickup details at checkout.

If your hotel is not located in the listed pickup area, please make your way to the designated meeting point. In Cancun, meet in front of the lobby at Oasis Smart in Tulum Avenue. In Playa del Carmen, meet at Coco Bongo.

Please note that hotel pickup will commence 60 minutes before the scheduled tour time. Please contact the tour provider to arrange your pickup or meeting point details. 

Pickup will begin at 07:00 but the exact pickup time will depend on your location. Please contact the tour provider to schedule your pickup."
"Tour of Maya Ruins, Cenote and Playa del Carmen","On this guided tour, you'll discover the archaeological sites and natural sceneries of the Yucatan Peninsula. The tour starts at the Mayan ruins of Tulum and Cobá. In Tulum, you'll stroll through temples and pyramids against the Caribbean Sea backdrop. In Cobá, you'll climb to the top of Nohoch Muul, known as the tallest pyramid on the peninsula. While you enjoy local dishes for lunch, your guide will share more insights into the Mayan architecture, culture and lifestyle. Afterwards, you'll get to swim in the crystalline water of a cenote, a natural sinkhole. The tour concludes in Playa del Carmen, where you can shop and roam around on your own.",[],"['Pickup and drop-off in in Playa del Carmen', 'Transportation in an air-conditioned vehicle', 'Buffet lunch', 'Admissions', 'Guide services']",['Photos'],[],['All guests located in hotels after Playa del Carmen have two options for the activity to visit the town. \r1) You can make your own way back if you want to visit Playa del Carmen \r2) Skip the visit to Playa del Carmen and return to your hotel after the visit to Tulum Coba and the cenote swim\rPlease bring your ticket with you to the attraction.\rBe aware that operators may cancel for unforeseen reasons.\rYou need to be 18 years or older to book or be accompanied by an adult. Operated by Kbron travel'],Pick-up pointPlaya del CarmenPlease provide your pickup details during checkout. Pickup is at 07:00.
Tulum Ruins Self-Guided Audio Tour,"This self-guided audio tour will give you the chance to discover the seaside Mayan ruins of Tulum. After downloading the app, you'll be able to explore the archaeological site at your own pace and gain insights into its history and legends. You can see notable structures such as the Casa del Cenote, El Castillo and the Temple of the Frescoes. Using your smartphone's GPS, the audio will play automatically at the right time and place.",[],"['VoiceMap App for Android and iOS', 'Lifetime access to the tour in English', 'Offline access to audio, maps and geodata']","['Admission to attractions', 'Smartphone and headphones', 'Transportation', 'Food and drinks']",['Suitable for all fitness levels'],"['English (UK)', 'English (UK)', 'English (UK)']","Departure pointLibrería Educal Tulum, Zona Hotelera Tulum, Tulum, 77780Before arrival, please install the VoiceMap mobile app and use the code provided on your confirmation ticket. This is a self-guided audio tour that you can start, pause or restart at any time and complete at your own pace. Detailed starting point instructions are available after downloading."
